rank,nameWithOwner,url,stars,forks,watchers,releases,created_at,age_years
1,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,154489,46136,4453,0,2018-05-07T13:27:00Z,7.89
2,krahets/hello-algo,https://github.com/krahets/hello-algo,124039,14953,591,10,2022-11-04T11:08:34Z,3.39
3,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,107111,13527,2632,0,2019-09-05T03:01:56Z,6.55
4,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93837,27369,3706,0,2014-08-09T16:45:18Z,11.63
5,macrozheng/mall,https://github.com/macrozheng/mall,83249,29678,2211,3,2018-04-04T01:11:44Z,7.98
6,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,80311,41863,3311,345,2012-10-19T15:02:57Z,13.43
7,doocs/advanced-java,https://github.com/doocs/advanced-java,78915,19265,2556,1,2018-10-06T11:38:30Z,7.47
8,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76703,13975,2524,0,2018-12-06T08:01:22Z,7.3
9,elastic/elasticsearch,https://github.com/elastic/elasticsearch,76399,25830,2614,238,2010-02-08T13:20:56Z,16.13
10,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,66189,7293,1102,52,2019-03-01T03:27:48Z,7.07
11,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,65281,21039,2178,0,2016-07-16T10:21:02Z,9.69
12,kdn251/interviews,https://github.com/kdn251/interviews,64936,12922,2575,0,2017-02-14T18:19:25Z,9.11
13,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,59784,38906,3283,359,2010-12-08T04:04:45Z,15.3
14,termux/termux-app,https://github.com/termux/termux-app,52516,6283,1430,95,2015-10-23T09:42:46Z,10.42
15,google/guava,https://github.com/google/guava,51506,11157,2336,57,2014-05-29T16:23:17Z,11.82
16,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,49295,4088,538,244,2015-10-21T08:26:28Z,10.43
17,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48466,7601,2159,257,2013-01-08T20:11:48Z,13.21
18,skylot/jadx,https://github.com/skylot/jadx,47803,5468,811,34,2013-03-18T17:08:21Z,13.02
19,jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,45576,15850,832,70,2018-11-26T10:40:00Z,7.33
20,apache/dubbo,https://github.com/apache/dubbo,41711,26530,2981,113,2012-06-19T07:56:02Z,13.77
21,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,38228,9046,1099,44,2014-04-25T14:29:47Z,11.92
22,halo-dev/halo,https://github.com/halo-dev/halo,38150,10231,479,253,2018-03-21T12:56:52Z,8.01
23,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,37664,3522,613,141,2015-09-03T23:39:26Z,10.56
24,eugenp/tutorials,https://github.com/eugenp/tutorials,37350,53719,1481,0,2013-04-29T18:26:36Z,12.91
25,alibaba/arthas,https://github.com/alibaba/arthas,37214,7636,1110,69,2018-08-29T17:15:57Z,7.57
26,YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,36040,7779,256,54,2021-01-24T03:18:25Z,5.17
27,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,36038,6445,646,0,2020-05-29T05:47:09Z,5.82
28,doocs/leetcode,https://github.com/doocs/leetcode,35825,9380,335,21,2018-09-16T14:03:03Z,7.52
29,airbnb/lottie-android,https://github.com/airbnb/lottie-android,35602,5438,837,63,2016-10-06T22:42:42Z,9.46
30,ashishps1/awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources,35561,7776,438,0,2023-10-25T01:50:42Z,2.42
31,bumptech/glide,https://github.com/bumptech/glide,35032,6183,1026,54,2013-07-08T22:52:33Z,12.71
32,netty/netty,https://github.com/netty/netty,34898,16268,1687,3,2010-11-09T09:22:21Z,15.38
33,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,34183,8667,1260,114,2013-01-14T21:40:56Z,13.19
34,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,34112,10991,1008,0,2017-11-10T06:27:29Z,8.37
35,zxing/zxing,https://github.com/zxing/zxing,33901,9434,1650,32,2011-10-12T14:07:27Z,14.45
36,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33707,10681,1160,117,2016-07-30T18:18:32Z,9.65
37,keycloak/keycloak,https://github.com/keycloak/keycloak,33584,8174,394,103,2013-07-02T13:38:51Z,12.73
38,alibaba/nacos,https://github.com/alibaba/nacos,32765,13261,898,90,2018-06-15T06:49:27Z,7.78
39,binarywang/WxJava,https://github.com/binarywang/WxJava,32671,9059,1347,31,2016-01-06T08:24:05Z,10.22
40,apache/kafka,https://github.com/apache/kafka,32237,15072,1047,0,2011-08-15T18:06:16Z,14.61
41,conductor-oss/conductor,https://github.com/conductor-oss/conductor,31566,841,46,37,2023-12-08T06:06:09Z,2.3
42,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,30638,12299,1311,0,2016-11-05T05:32:33Z,9.39
43,chinabugotech/hutool,https://github.com/chinabugotech/hutool,30327,7645,597,157,2014-04-13T07:23:51Z,11.95
44,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,29994,11455,940,42,2015-11-28T12:59:34Z,10.32
45,apolloconfig/apollo,https://github.com/apolloconfig/apollo,29767,10200,1242,43,2016-03-04T10:24:23Z,10.06
46,alibaba/canal,https://github.com/alibaba/canal,29645,7660,1163,32,2013-01-13T10:59:52Z,13.2
47,yuliskov/SmartTube,https://github.com/yuliskov/SmartTube,29102,1559,231,980,2020-07-28T12:53:52Z,5.66
48,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,29081,8515,954,51,2017-12-01T20:49:15Z,8.31
49,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,29012,8155,855,0,2018-05-02T02:48:44Z,7.9
50,DrKLO/Telegram,https://github.com/DrKLO/Telegram,28762,9360,1260,95,2013-10-25T14:08:10Z,12.42
51,alibaba/druid,https://github.com/alibaba/druid,28212,8602,1679,52,2011-11-03T05:12:51Z,14.39
52,lenve/vhr,https://github.com/lenve/vhr,28099,10251,868,0,2018-01-04T08:57:51Z,8.22
53,Anuken/Mindustry,https://github.com/Anuken/Mindustry,27034,3380,546,182,2017-04-30T01:24:29Z,8.9
54,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,27000,7021,1645,0,2017-12-17T09:06:50Z,8.27
55,qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,26604,6617,40,0,2018-09-14T04:36:24Z,7.53
56,kestra-io/kestra,https://github.com/kestra-io/kestra,26603,2534,143,413,2019-08-24T13:56:15Z,6.59
57,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,26031,7458,221,79,2018-05-12T09:57:56Z,7.87
58,apache/incubator-seata,https://github.com/apache/incubator-seata,25966,8891,828,45,2018-12-28T08:37:22Z,7.24
59,apache/flink,https://github.com/apache/flink,25898,13904,917,0,2014-06-07T07:00:10Z,11.8
60,hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,25457,5410,903,0,2018-10-25T09:54:54Z,7.42
61,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25413,4565,1026,0,2013-03-05T08:18:59Z,13.06
62,CodePhiliaX/Chat2DB,https://github.com/CodePhiliaX/Chat2DB,25280,2763,153,43,2023-06-20T14:05:26Z,2.77
63,bazelbuild/bazel,https://github.com/bazelbuild/bazel,25264,4432,595,246,2014-06-12T16:00:38Z,11.79
64,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,25174,4976,508,14,2017-06-02T09:52:50Z,8.81
